text,label
telecommunication suggestion others honourable minister department telecommunication government india grievancedear sir would like draw urgent attention kaladu village come bamprada gramapanchyat barkote block deogarh district odisha state undeveloped hill cum inter remote area cut part mainstream area country since long time network connectivity internet penetration telecommunication poor even working properly resident village student business personality unable access internet banking online service student also unable attend online activity due mentioned problem people unable call ambulance fire service due lack network problem emergency time facility digital india reached area till underprivileged digitally connected rest country therefore kindly request please install new reliance jio4g5g cum bsnl3g4g5g mobile tower scheme universal service obligation fund usof particular place kaladu village come bamprada gramapanchyat barkote block deogarh district odisha state underprivileged people connected digitally take advantage digital service,10
indian passport number x7x3x4x0 immigration newzealand client number x3x2x0x4 danapuneni sreekanth raoi paid fee collegeand paid tax newzealand government 2009 yearwithout provided service took tution feeall thing newzealand government iam facing health problemswhy took tution feewithout provided anythingdue loss 11years get permanent residency compensation newzealand dollar 913336 nzdall friend good position jobsiam mentally faced lot problem newzealand governmentso get permanent residency compensation newzealand dollar 913336 nzd indian government bank detail account name sreekanth rao danapuneni account x2x8x8x9x8x ifsc code xxxxx bank state bank india branchmanthani state telangana country india thanks regard danapuneni sreekanth rao,11
panchayati raj panchayat development related matter basic facility village odisha honourable principal secretary department panchayati raj government india new delhi grievancedear sir 76 year independent india regular availability road drinking water electricity health education telecommunication cum internet facility gambharibhuin village sado gramapanchayat come tileibani block deogarh district sensitive unfortunate matter undeveloped hill cum inter remote area good communication request take step avail regular road drinking water facility education health telecommunication cum internet facility electricity connect gambharibhuin village,12
xaxpxxx0x2x4x0x5 regarding cbcid inspection closed wrong fact without investigate evidence blamed abused complainant asp nagar bulandshahr anukriti sharma ji mr tp singh superintending post hpo bulandshahr mr rajeev umrao postmaster general agra please investigate attached pdf file matter lodge fir present complainant want mental harassment xoxpxnxaxixn legal action police officer xuxexixtxnxixg post hpo bulandshahr sir atm card issued without complainant oral written permission mr chandra prakash singh district magistrate bulandshahr dated 1992022 well choki ansari road bulandshahr mr virendra kumar si x8x1x6x9x4x made pressure complainant lodge fir dated 28062022 asp bulandshahr shri shashank singh x4x4x0x5x2 false report regarding phone testimony dated 2222022 phone testimony given date spite many complaint cancelled big offence well xoxpxaxnxnxs name written gd register kotwali nagar bulandshahr 2272022 action taken person till well application received dated 08042022 sp city bulandshahr mr surendra nath tiwari x4x4x0x0x3 well argued complainant missed call crime present without check fact blamed complainant asp nagar bulandshahr anukriti sharma ji report stigrs1x2x3xx0x2x2x saved officer without action person present complainant want mental harassment xoxpxnxaxixn legal action police officer xuxexixtxnxixg post hpo bulandshahr,13
tourism scheme project proposal scheme ministry tourism swadesh darshan hon39ble secretary tourism ministry tourism 1st floor transport bhawan 1 parliament street new delhi sir meeting reg development beri panchpota ecotourism west bengal honorable secretary central tourism ministry mr arvind singh nearly eight month passed initiative build ecotourism beri panchpota west bengal till beri panchpota village gaighata block westbengal situated 70 km away kolkata city india five horse nail shaped lake natural oxbow lake flowing village two biggest lake village beri lake 823 km long duma lake 14 km long others lake approximately 6 km 4 km 35 km long lake naturally developed stunningly beautiful sweet rainwater fed water body lake boast natural habitat traditional small fish bird tortoise flora fauna want build ecotourism area development beri panchpota ecotourism center benefit million people least three assembly constituency west bengal want tourism project developed collaboration central state government sorry inform initiative build ecotourism beri panchpota west bengal till even meeting honorable secretary tourism mr arvind singh request hon39ble secretary see matter urgently please visit village beri panchpota also request hon39ble secretary u talk topic four representative area would like meet hon39ble secretary want appointment hon39ble secretary thanking jyoti prokash ghosh vill post beri panchpota block gaighata dist north 24 parganas wb,14
indian passport number x7x3x4x0 immigration newzealand client number x3x2x0x4 danapuneni sreekanth raoi paid fee collegeand paid tax newzealand government 2009 yearwithout provided service took tution feeall thing newzealand government iam facing health problemswhy took tution feewithout provided anythingdue loss 11years get permanent residency compensation newzealand dollar 913336 nzdall friend good position jobsiam mentally faced lot problem newzealand governmentso get permanent residency compensation newzealand dollar 913336 nzd indian government bank detail account name sreekanth rao danapuneni account x2x8x8x9x8x ifsc code xxxxx bank state bank india branchmanthani state telangana country india thanks regard danapuneni sreekanth rao x1x9x3x4x8x0,15
labour employment transfer related issue transfer inoutform 13 online transfer related issue name address establishment persolkelly india private limited uan x0x3x9x5x8x0 pf code pf account xxxxx ppo provided scheme certificate number provided pf office regional office bandra 1 hello dear sir madam name syed shebaaz ahmed uan number x0x3x9x5x8x0 pf number xxxxx company name persolkelly india private limited company detail sir apply transfer request epfo still rejected reason break statement rejected reason claim claim id xxxxx rejected due 1 payment received month 052022 clarify contact hr he39s given clearfication letter break statment also sending epfo office regarding request epfo department please approve transfer please find attachment pdf file please reply soon possible,16
labour employment compliance related issue non coverage establishment name address establishment devendra nath singh khalari angul anugul odisha khalari angul anugul odisha anugul uan x0x4x2x3x2x8 pf code pf account xrxbxsxxxxxxxxxxxxxxxxxxxx ppo provided scheme certificate number provided pf office regional office bhubaneshwar dear sir mai shri jaykumar haridas patil maine apne pehle walle 1st employer xxxxx ko apne document unke kehne perr adhar card pan card bank passbook watsup perr send karr diya tha ki unhone muze bola tha ki mai tumhara bank kyc approved karke deta hu karke lekin sir unhone mera bank kyc approved na karte huye mere 2nd company xxxxx mera janbooz kerr 1 august 2022 ki joinng date updated karr diya tha jab maine unse contact kiya tha ki aapne aisa kyu kiya woh muze pehchanne se enkar karahe ki mai aapko nahi pehchnta karke fir sir maine cp gram grivance perr mere 2nd employer xxxxx se contact karke jabki maine unke pas kamm bhi na karte huye bhi mera bank kyc dsc se approved karr diya hai sir abhi bhi yeh sab ho jane ke baad mere uan portal perr dubara tiasri baar kisi company ki xhxbxaxexhxax ki 01 november 2022 ki joining date bata raha hai jabki mai woh jagah na gaya hu nahi maine kabhi waha kamm kiya hai plz sir mere baar baar rejoining kon karr raha hai kuch samaz nahi aarha hai kripa karke meri problem ka kuch solution dhoond lijiye ki yeh kon karrr raha hai kyu karr raha mai apna pf ammount kab withdrwal karr sakta hu jo baar baar rejoining ho raha hai thankyou sir,17
à®ªà®°à®® à®®à®¤à®ªà®ªà®±à®•à®°à®¯ à®¨à®¤ à®…à®°à®šà®°à®•à®³ à®à®¯ 100 à®°à®ªà®¯ à®ªà®¤à®¤à®°à®¤à®¤à®² 732020 à®…à®©à®± à®Žà®©à®© à®•à®Ÿà®°à®®à®• à®¤à®•à®•à®¯à®¤ à®ªà®°à®¤à®¤ à®šà®™à®•à®² à®•à®±à®ªà®ªà®°à®•à®³ à®šà®Ÿà®š à®‰à®±à®¤ à®ªà®¤à®¤à®°à®® à®¤à®¨à®¤à®³à®³à®©à®° à®…à®¤à®© à®‰à®°à®¯ à®¨à®°à®¤à®¤à®² à®šà®®à®°à®ªà®ªà®ªà®© à®à®¯à®Žà®¤à®° à®¨à®šà®šà®² à®…à®Ÿ à®‡à®©à®± à®à®±à®±à®•à®•à®Ÿ à®‡à®¤ sp à®•à®•à®® à®…à®µà®©à®© à®ªà®¯à®•à®¤à®•à®³à®•à®• à®ªà®©à®©à®²à®® à®®à®©à®©à®²à®® à®®à®Ÿà®Ÿà®•à®Ÿà®ªà®ªà®µà®°à®•à®³à®•à®• 100 à®°à®ªà®¯ à®šà®Ÿà®š à®‰à®±à®¤ à®ªà®¤à®¤à®°à®® à®šà®®à®°à®ªà®£à®® à®Žà®©à®© à®ªà®£à®Ÿà®®à®µà®© à®Žà®© à®¤à®Ÿà®Ÿà®¯ police à®•à®°à®© à®Žà®² à®Žà®©à®©à®¯à®² à®ªà®£à®Ÿà®®à®µà®© à®•à®Ÿà®Ÿ à®…à®¤à®±à®• à®¨à®© à®Žà®² à®ªà®£à®Ÿà®®à®µà®© à®…à®ªà®ªà®Ÿ à®ªà®¤à®®à®•à®•à®³à®Ÿà®® à®ªà®šà®•à®•à®Ÿà®¤ à®Žà®©à®± à®šà®²à®² à®•à®Ÿà®¤à®¤à®© à®à®¯ à®Žà®² à®¨à®µ à®šà®¯à®¯ à®µà®£à®Ÿà®¯ à®µà®²à®¯ à®¨à®© à®šà®¯à®±à®®à®² à®Žà®© à®¨à®žà®šà®² à®®à®¤à®ªà®ªà®¯à®² à®‰à®©à®•à®• à®²à®žà®šà®® à®¤à®°à®²à®© à®à®± à®®à®¤à®ªà®ªà®¯à®² à®Žà®© à®šà®¤à®¯ à®•à®µà®²à®® à®ªà®šà®µà®¯à®² public servant à®Žà®©à®±à®® à®•à®±à®©à®© à®à®¯ police à®•à®°à®£à®•à®•à®® à®Žà®©à®•à®•à®® à®šà®£à®Ÿ 2019 à®² à®ªà®±à®• à®•à®©à®©à®¯à®•à®®à®° police station à®‰à®³à®³à®¯ à®ªà®¯ à®šà®ªà®Ÿà®®à®ªà®° à®®à®¤à®® camera à®®à®©à®©à®Ÿ à®¨à®©à®© à®¨à®©à®¤à®© à®®à®šà®¯ à®Žà®© à®•à®Ÿà®µà®šà®šà®Ÿà®Ÿà®•à®• à®’à®° à®ªà®š à®²à®žà®šà®® à®¤à®°à®®à®Ÿà®Ÿà®© à®•à®¤à®¤ à®¤à®®à®° à®šà®©à®©à®µà®© à®‰à®™à®•à®³ à®‡à®¨à®¤à®¯ à®•à®Ÿà®®à®•à®© à®®à®šà®¯ à®®à®¯à®°à®¨à®ªà®ªà®© à®‰à®¯à®°à®µà®´à®•à®•à®µà®°à®® à®…à®¨à®¨à®° à®‰à®¯à®°à®¨à®ªà®ªà®° à®®à®©à®® à®µà®°à®© à®®à®¯à®° à®Žà®Ÿà®ªà®ªà®© sp à®¨à®Ÿà®µà®Ÿà®•à®•,18
panchayati raj panchayat development related matter basic facility village rajasthan honourable principal secretary department panchayati raj government india new delhi grievancedear sir 76 year independent india regular availability road drinking water electricity health education telecommunication cum internet facility argen village sado gramapanchayat come tileibani block deogarh district sensitive unfortunate matter undeveloped hill cum inter remote area good communication request take step avail regular road drinking water facility education health telecommunication cum internet facility electricity connect argen village,19
home affair jammu kashmir ladakh matter others please find attached file,20
panchayati raj panchayat development related matter basic facility village odisha honourable principal secretary department panchayati raj government india new delhi grievancedear sir 76 year independent india regular availability road drinking water electricity health education telecommunication cum internet facility tingasil village gadapadar gramapanchayat come jeypore block koraput district sensitive unfortunate matter undeveloped hill cum inter remote area good communication request take step avail regular road drinking water facility education health telecommunication cum internet facility electricity connect tingasil village,21
niti aayog tourism tourism statistic sir meeting reg development beri panchpota ecotourism honorable secretary central tourism ministry mr arvind singh nearly eight month passed initiative build ecotourism beri panchpota till development beri panchpota ecotourism center benefit million people least three assembly constituency west bengal want tourism project developed collaboration central state government would request look matter thanking jyoti prokash ghosh,22
panchayati raj panchayat development related matter basic facility village odisha honourable principal secretary department panchayati raj government india new delhi grievancedear sir 76 year independent india regular availability road drinking water electricity health education telecommunication cum internet facility nepal village banthapur gramapanchayat come odagaon block nayagarh district sensitive unfortunate matter undeveloped hill cum inter remote area good communication request take step avail regular road drinking water facility education health telecommunication cum internet facility electricity connect nepal village,23
telecommunication mobile related activationdeactivationfault sim card mobile number x4x7x2x3x2 service provider bharat sanchar nigam limited corporate office respected sir reference issue faced would like lodge complaint bsnl kalyani exchange wherein issued duplicate sim mother39s name aruna chakraborty without permission knowledge hence would like register complaint would like necessary action taken bsnl kalyani exchange carried transaction issuance sim card 17th dec 2022 confirmed bsnl customer care said date following number x4x7x2x3x2 would also like inform taking legal action mistake issuing sim without verifying detail caused financial fraud saving account 19th dec 2022 amounting rs1374000 also went kalyani bsnl exchange 22nd dec shared document duplicate sim issued looking could clearly see document fake verified bsnl official also attaching fake document received exchange used issue sim card along original document regard anita rao chakraborty alternate contact x0x1x4x0x7 x0x3x6x4x4 x2x2x2x4x5,24
panchayati raj panchayat development related matter basic facility village odisha honourable principal secretary department panchayati raj government india new delhi grievancedear sir 76 year independent india regular availability road drinking water health education telecommunication cum internet facility dadadamaha village talarimaha gramapanchayat come gudayagiri block kandhamal district sensitive unfortunate matter undeveloped hill cum inter remote area good communication request take step avail regular road drinking water facility education health telecommunication cum internet facility dadadamaha village,25
central board direct tax income tax direct tax search seizure matter reward informer pan xxxxx regional office office region andhra pradesh telangana happy new year 2023 sir request honourable minister finance government indianew delhi settle case attached cbodt central board direct tax bless year employement,26
administrative reform public grievance central government related prayer action home police department government india amp send action taken intimation respected sir respected madam smt kaberi mukherjee c shri k mukherjee village khas nirsa near middle school po nirsa p nirsa district dhanbad 828205 contact x4x0x4x1x5 herewith enclosed application enclosers kind action government india home police department request send action taken intimation speed post thanking faithfully smt kaberi mukherjee date 112023,27
external affair others danapuneni sreekanth raopaid tution fee college newzealand 2009i paid tution fee provided servicesi approached indian embassy responsible indian safety difficulty foreign country also provided anythingiam sending mail indian embassy since13 yearsin cpgrams portal sent 7000 grievance ministry external affairsfor loss ministry external affairsindian embassyindian government responsiblei get permanent residency newzealand government dollar 913336 nzd equivalent indian rupee 5 crore indian rupee get ministry external affair indian government soon possiblealready 13 year overplease send money given bank account bank detail account name sreekanth rao danapuneni account x2x8x8x9x8x ifsc code xxxxx bank state bank india branchmanthani state telangana country india thanks regard danapuneni sreekanth rao x1x9x3x4x8x0,28
external affair others danapuneni sreekanth raopaid tution fee college newzealand 2009i paid tution fee provided servicesi approached indian embassy responsible indian safety difficulty foreign country also provided anythingiam sending mail indian embassy since13 yearsin cpgrams portal sent 7000 grievance ministry external affairsfor loss ministry external affairsindian embassyindian government responsiblei get permanent residency newzealand government dollar 913336 nzd equivalent indian rupee 5 crore indian rupee get ministry external affair indian government soon possiblealready 13 year overplease send money given bank account bank detail account name sreekanth rao danapuneni account x2x8x8x9x8x ifsc code xxxxx bank state bank india branchmanthani state telangana country india thanks regard danapuneni sreekanth rao x1x9x3x4x8x0,29
external affair others danapuneni sreekanth raopaid tution fee college newzealand 2009i paid tution fee provided servicesi approached indian embassy responsible indian safety difficulty foreign country also provided anythingiam sending mail indian embassy since13 yearsin cpgrams portal sent 7000 grievance ministry external affairsfor loss ministry external affairsindian embassyindian government responsiblei get permanent residency newzealand government dollar 913336 nzd equivalent indian rupee 5 crore indian rupee get ministry external affair indian government soon possiblealready 13 year overplease send money given bank account bank detail account name sreekanth rao danapuneni account x2x8x8x9x8x ifsc code xxxxx bank state bank india branchmanthani state telangana country india thanks regard danapuneni sreekanth rao x1x9x3x4x8x0,30
empowerment person disability scholarship scheme swds postmatric scholarship student disability registrationroll provided disability certificate udid card 104818 supporting document none dear sir nsp didn39t allow submit scholarship form adding captcha code tried many time couldn39t access captcha code therefore kindly allow submit application mode nsp absolutely discriminatory nsp exclusionary nature head nsp lost hisher mind0,31
external affair others danapuneni sreekanth raopaid tution fee college newzealand 2009i paid tution fee provided servicesi approached indian embassy responsible indian safety difficulty foreign country also provided anythingiam sending mail indian embassy since13 yearsin cpgrams portal sent 7000 grievance ministry external affairsfor loss ministry external affairsindian embassyindian government responsiblei get permanent residency newzealand government dollar 913336 nzd equivalent indian rupee 5 crore indian rupee get ministry external affair indian government soon possiblealready 13 year overplease send money given bank account bank detail account name sreekanth rao danapuneni account x2x8x8x9x8x ifsc code xxxxx bank state bank india branchmanthani state telangana country india thanks regard danapuneni sreekanth rao x1x9x3x4x8x0,32
external affair others danapuneni sreekanth raopaid tution fee college newzealand 2009i paid tution fee provided servicesi approached indian embassy responsible indian safety difficulty foreign country also provided anythingiam sending mail indian embassy since13 yearsin cpgrams portal sent 7000 grievance ministry external affairsfor loss ministry external affairsindian embassyindian government responsiblei get permanent residency newzealand government dollar 913336 nzd equivalent indian rupee 5 crore indian rupee get ministry external affair indian government soon possiblealready 13 year overplease send money given bank account bank detail account name sreekanth rao danapuneni account x2x8x8x9x8x ifsc code xxxxx bank state bank india branchmanthani state telangana country india thanks regard danapuneni sreekanth rao x1x9x3x4x8x0,33
external affair others danapuneni sreekanth raopaid tution fee college newzealand 2009i paid tution fee provided servicesi approached indian embassy responsible indian safety difficulty foreign country also provided anythingiam sending mail indian embassy since13 yearsin cpgrams portal sent 7000 grievance ministry external affairsfor loss ministry external affairsindian embassyindian government responsiblei get permanent residency newzealand government dollar 913336 nzd equivalent indian rupee 5 crore indian rupee get ministry external affair indian government soon possiblealready 13 year overplease send money given bank account bank detail account name sreekanth rao danapuneni account x2x8x8x9x8x ifsc code xxxxx bank state bank india branchmanthani state telangana country india thanks regard danapuneni sreekanth rao x1x9x3x4x8x0,34
external affair others danapuneni sreekanth raopaid tution fee college newzealand 2009i paid tution fee provided servicesi approached indian embassy responsible indian safety difficulty foreign country also provided anythingiam sending mail indian embassy since13 yearsin cpgrams portal sent 7000 grievance ministry external affairsfor loss ministry external affairsindian embassyindian government responsiblei get permanent residency newzealand government dollar 913336 nzd equivalent indian rupee 5 crore indian rupee get ministry external affair indian government soon possiblealready 13 year overplease send money given bank account bank detail account name sreekanth rao danapuneni account x2x8x8x9x8x ifsc code xxxxx bank state bank india branchmanthani state telangana country india thanks regard danapuneni sreekanth rao x1x9x3x4x8x0,35
